# THIS FILE IS AUTOGENERATED AND IS OVERWRITTEN ON PLUGIN UPGRADE
# If you wish to have your own definitions, create a file named user.devicelist.csv in this directory
# Tab Delimited, No text delimiter
#regex	name	icon	profiles	default profile	generic?
###Acer###

# Guessing the "E" part since 3202 is non-E
^mass\.storage\.3203\.acer\.0502$	Acer Liquid E	android	default	h264 800x480	
^mass\.storage\.3202\.acer\.0502$	Acer Liquid	android	default	h264 800x480	


###ainol###
v8000hdw\.player\.1000\.ainol\.1f3a	Ainol V8000HDW	usb	default	h264 800x480	


###Amazon###

# Kindle Fire
kindle\.000[56]\.amazon\.1949	Amazon Kindle	android	default	h264 800x480	


###Creative###

# 7"=800x480; 10"=1024x600
ziio.*\.2029\.creative\.041e	%s	android	default	h264 800x480	


###Danger###

# supposedly plays h.264, but maybe only 263
sidekick.lx.1102.t-mobile.0da0	SideKick LX	usb	default	h264 856x480	

# supposedly plays h.264, but maybe only 263
sidekick.lx.2009.1102.t-mobile.0da0	Sidekick LX 2009	usb	default	h264 856x480	


###Dell###
^.*\.b007\.dell\.413c	Dell Streak	android	h264 800x480 LQ		


###Garmin###
^android\.storage\.2473\.garmin\.091e$	Garmin-Asus nuvifone	android	default	h264 480x320	


###Gigabyte###
^.*\.c001\.google\.0489$	Orange Boston	android	default	h264 480x320	


###HTC###
android\.android\.phone\.htc	HTC Android Phone	android	default	h264 480x320	
desire\.0ff9\.htc\.0bb4	HTC Desire	android	h264 800x480		

# Debugging USB Mode on
desire\.0c87\.htc\.0bb4	HTC Desire	android	h264 800x480		
inc\.nexus\.one\.4e1[12]\.google,\.18d1	Nexus One	android	h264 800x480 LQ		

# Looks oddly like the HTC Desire id.. oh well
inc\.nexus\.one\.0c87\.google,\.0bb4	Nexus One	android	h264 800x480 LQ		
ums\.composite\.b004\.android\.18d1	Evi Wallet?	android	default	h264 800x480	
^mytouch\.3g\.slide\.0e03\.t-mobile\.0bb4$	myTouch 3G Slide	android	h264 480x320		
^mytouch\.3g\.slide\.0ff9\.t-mobile\.0bb4$	myTouch 3G Slide	android	h264 480x320		
^(.*)\.0c13(.*)\.0bb4$	Android Phone %2 %1	android	default	h264 480x320	

# Seen as .0ffd.0bb4
^(.*)\.0ffd\.(.*)0bb4$	Android Phone %2 %1	android	default	h264 480x320	
